Title,Id,PostTypeId,AcceptedAnswerId,ParentId,OwnerUserId,DisplayName,Reputation
Are the NBA teams globally better in East or West conference?,18137,1,18193,,13173,MysteryGuy,121
,18139,2,,18134,15118,Devanshu Ninawe,1
The ending of a baseball game,18142,1,,,15124,John Brown,11
,18144,2,,18142,9578,BowlOfRed,2998
How do players take turn hitting the ball in golf,18147,1,18148,,3671,alamoot,8213
,18148,2,,18147,4851,aqwert,742
Maximum bowlers can be used to complete an over in test cricket,18151,1,,,15130,madhawavish,3
,18152,2,,18151,6126,Philip Kendall,18797
Which team has scored the most goals during a single whole UEFA Champions League season?,18154,1,,,15133,Omar Ahmad,51
,18155,2,,18154,13485,Ram Chandra Giri,6269
Can the third umpire overturn a decision without being referred from the field?,18157,1,20467,,13458,Nog Shine,208
Has W.A.R. been used in this fashion?,15584,1,15602,,9567,dgo,562
What is the most number of times two teams met in a season?,15585,1,15769,,11197,CodeNewbie,1994
How often does pulling the goalie work?,15586,1,15598,,12900,Bebs,1218
Is this a subtlety in the icing rule?,15588,1,15603,,12902,Sam,191
Can I take part in the Olympic Games decathlon by default?,15589,1,,,12903,Branden,51
What do the numbers on Mavis (Yonex) Badminton cocks mean?,15590,1,15599,,12904,user352935,53
,15591,2,,15589,9319,Nij,6688
,15592,5,,,9319,Nij,6688
,15593,4,,,13485,Ram Chandra Giri,6269
Asian handicap bets combination,15594,1,,,12906,Kiril Mladenov,141
,15595,2,,15594,1831,Ale,9000
,15598,2,,15586,6126,Philip Kendall,18797
,15599,2,,15590,1419,phihag,1832
Can an opponent catch the shuttle before it hits the ground on a serve?,15601,1,15604,,12911,LanceB98,23
,15602,2,,15584,11937,GB11,679
,15603,2,,15588,12912,de Lorean,96
,15604,2,,15601,6126,Philip Kendall,18797
"Schedule-wise, is it possible to win a Triple Crown in today's Tennis?",15605,1,,,11757,Noir Antares,1937
,15606,2,,15605,1831,Ale,9000
,15607,5,,,-1,Community,1
,15608,4,,,12900,Bebs,1218
,15609,2,,2637,12917,user12917,1
How is it decided in hockey which team wears white or colored jersey?,15610,1,15618,,12900,Bebs,1218
,15612,2,,15521,12919,Kinjal Patel,349
"2 Runs need of last ball, batsman is runout while taking second run. What is the result?",15613,1,15614,,12920,Shahsays,139
,15614,2,,15613,12919,Kinjal Patel,349
,15615,2,,15434,12919,Kinjal Patel,349
,15616,2,,15613,6126,Philip Kendall,18797
Why Cricket world cup played in 1999 (England) instead of 2000?,15617,1,15624,,12919,Kinjal Patel,349
,15618,2,,15610,12922,J Preisser,76
MLB - process of signing guy off of streets,15619,1,15622,,12923,user2924127,133
NHL Trades: Can one find the exact language of every trade?,15621,1,15639,,12902,Sam,191
,15622,2,,15619,12181,Linkan,278
What do football (soccer) referees do during halftime?,15623,1,15665,,11552,Arminius,203
,15624,2,,15617,4851,aqwert,742
,15625,2,,15535,12900,Bebs,1218
,15626,2,,15535,110,Fillet,3554
Why does a cricket player have to wait for four years before he can play for another country ?,15627,1,15628,,12920,Shahsays,139
,15628,2,,15627,6126,Philip Kendall,18797
"Baseball, when was the third strike rule put into effect when bunting?",15631,1,,,12933,Marty Bolotin,1
,15632,2,,15631,8937,New-To-IT,2027
,15633,2,,15450,6117,ACD,195
,15634,2,,15091,12912,de Lorean,96
,15637,2,,15621,12242,12Lappie,260
,15639,2,,15621,12902,Sam,191
2 players steal at the same time on 2 outs,15640,1,15642,,12940,panoptical,123
Is it an offence if the ball is handled when the arms are in contact with the body?,15646,1,15648,,12942,Saksham,217
,15648,2,,15646,6126,Philip Kendall,18797
Why Test Match ends with draw instead of either win or loss?,15649,1,15650,,12944,Tommy Sledge,11
,15650,2,,15649,6126,Philip Kendall,18797
,15653,2,,7245,12946,Jim,21
Most Trophies won by a Player in T20 leagues,15654,1,,,12361,Forte Zhu,531
Does blocking in beach volleyball need to be harder than in indoor?,15655,1,15656,,12947,Simas Skilinskas,13
,15656,2,,15655,6126,Philip Kendall,18797
How is it handled when two opposing players are gripping the basketball?,15658,1,,,12952,BigDataLouie,161
What is a 5-point play in basketball?,15659,1,15702,,12952,BigDataLouie,161
,15660,2,,15658,6126,Philip Kendall,18797
,15661,2,,15646,3526,Reinstate Monica 2331977,7219
,15662,2,,13625,12954,Jeff Williams,11
,15663,2,,15269,12954,Jeff Williams,11
,15665,2,,15623,3526,Reinstate Monica 2331977,7219
Can physically disabled people participate in the Olympics?,15668,1,15669,,12956,kharandziuk,165
,15669,2,,15668,6126,Philip Kendall,18797
Why did Kevin Durant switch to the Golden State Warriors?,15670,1,15672,,12958,Pacmen,11
,15672,2,,15670,6126,Philip Kendall,18797
F1: economic damage because of crashes?,15676,1,18043,,1831,Ale,9000
"Why so many ""bye"" in ATP Indian Wells?",15677,1,,,12848,akostadinov,195
Champions League biggest comebacks after 1st leg,15678,1,,,3671,alamoot,8213
,15679,2,,15677,18,jamauss,8239
Why do the players take the ball in hand after they score a goal?,15680,1,,,12977,Hritikagrawal,61
,15681,2,,15680,11197,CodeNewbie,1994
"What are the rules of jump balls / tipoffs in basketball (nba, or others) about where the players on each team can stand?",15682,1,,,12978,Jacob S,11
,15683,2,,15682,6126,Philip Kendall,18797
Why is a batsman not permitted to consult with team on DRS?,15686,1,15687,,12983,IanB,163
,15687,2,,15686,11197,CodeNewbie,1994
"NFL team ""getting rid"" of a player",15689,1,,,3671,alamoot,8213
,15690,5,,,3671,alamoot,8213
,15691,4,,,3671,alamoot,8213
What is the most penalty kicks missed by a football team in one game?,15692,1,,,3671,alamoot,8213
,15693,5,,,3671,alamoot,8213
,15694,4,,,3671,alamoot,8213
,15696,2,,15689,6126,Philip Kendall,18797
,15699,2,,15692,12992,sprocket,141
,15701,2,,15692,12991,gdrt,5546
,15702,2,,15659,183,Steve Jackson,379
How are curling percentage determined by each shot?,15704,1,,,1831,Ale,9000
,15705,2,,15704,12181,Linkan,278
Can a Hall of Fame player come out of retirement and play again,15707,1,15710,,3671,alamoot,8213
,15708,5,,,3671,alamoot,8213
,15709,4,,,3671,alamoot,8213
,15710,2,,15707,6126,Philip Kendall,18797
"In volleyball, which part of the hand should you hit the ball with in an underhand serve?",15713,1,15719,,13001,iEPCBM,53
,15715,2,,13922,13003,Deborah Bee,19
What happens when a player is fouled hard while they are going for an and one?,15716,1,15717,,13006,ytpillai,123
,15717,2,,15716,11937,GB11,679
,15718,2,,15716,6232,Joe,8606
,15719,2,,15713,6126,Philip Kendall,18797
,15721,2,,15716,3502,A D,285
Why are golfers allowed to participate in both the Senior's and regular PGA tournaments?,15722,1,,,13004,QuebecYank,1
"In basketball, what would be the result of a foul on the shooter and then a foul on the player attempting to block the shot?",15723,1,,,3257,JeopardyTempest,1859
,15726,2,,15713,10216,Benedikt Bauer,317
Are there instances of batsmen walking despite a lack of appeal from the fielding side?,15728,1,17583,,11197,CodeNewbie,1994
Shot on target with deflection - a goal or an own goal,15729,1,16999,,12991,gdrt,5546
,15730,2,,15728,6126,Philip Kendall,18797
Rushing yards vs passing yards vs receiving yards?,15741,1,15742,,3367,temporary_user_name,141
,15742,2,,15741,6126,Philip Kendall,18797
Is Franco Baresi a World Cup winner?,15746,1,,,13041,mjfox,71
At what point does a player earn his prize money and points for getting to a certain stage in a tournament?,15747,1,,,597,Orge,528
,15748,2,,15746,12991,gdrt,5546
,15749,2,,15746,6126,Philip Kendall,18797
How did the term 'English' originate? (spin on a ball),15751,1,15753,,9690,Jason P Sallinger,1162
World Baseball Classic: Pool with three-way tie,15752,1,15985,,9690,Jason P Sallinger,1162
,15753,2,,15751,10408,Kevin Tinnemans,331
,15755,2,,15747,18,jamauss,8239
,15757,2,,1494,13045,Bob,1
,15760,2,,532,13050,sportsfan1,1
"How did football become so popular in Latin America, but not in anglophone North America?",15761,1,,,12991,gdrt,5546
"Why does it matter how we end up a shoot or a pass, in terms of the footwork involved?",15763,1,15764,,12942,Saksham,217
,15764,2,,15763,12900,Bebs,1218
"In table tennis, ITTF rules, what constitutes moving the playing surface (table)?",15765,1,15766,,2128,Iancovici,812
,15766,2,,15765,10280,jMike,56
,15767,2,,5495,13057,MikeD,11
,15768,2,,2961,13059,BeauBernard,9
,15769,2,,15585,12991,gdrt,5546
,15770,2,,707,13060,Sajjad Hussein,1
How is WAR defined as a baseball statistic?,1,1,192,,6,wax eagle,8985
How is offside determined in football?,3,1,14,,6,wax eagle,8985
What are some good strength exercises for marathon runners?,4,1,26,,28,Gabriel Solomon,1151
"As a defensive lineman, can I intentionally encroach to stop the clock?",6,1,16,,16,corsiKa,2234
What do all these Runners Lingo abbreviations like PR and HR mean?,7,1,9,,10,pesche,393
What is the origin of the specific distances in Ironman triathlon?,8,1,24,,23,geoffc,2257
,9,2,,7,23,geoffc,2257
What seat is the best overall seat in an American football stadium?,10,1,,,26,samthebrand,1128
,11,2,,3,18,jamauss,8239
,13,2,,8,35,pjmorse,2669
,14,2,,3,34,Dmitry Selitskiy,981
Why was the marathon World Record not 2:03:02 in 2011?,15,1,29,,35,pjmorse,2669
,16,2,,6,6,wax eagle,8985
Is it possible to effectively practice zone defence in basketball if you don't have 10 people?,18,1,,,34,Dmitry Selitskiy,981
Determining Goalie Stick Length,19,1,,,9,The Jug,358
,20,2,,15,36,Mike Hedman,2017
Ice Hockey Skates for People With Flat Feet,21,1,,,41,Robert C. Barth,509
,22,2,,6,8,TheGeneral,453
,23,2,,19,41,Robert C. Barth,509
,24,2,,8,36,Mike Hedman,2017
What is the safe technique of coming out of a fall on a snowboard?,25,1,75,,34,Dmitry Selitskiy,981
,26,2,,4,38,Tonny Madsen,993
How do you correctly learn how to hockey stop,27,1,,,41,Robert C. Barth,509
"Where did the term ""soccer"" originate?",28,1,59,,14,Marcus Swope,4585
,29,2,,15,37,J. Win.,884
How to make running intervals more challenging as I improve?,30,1,92,,49,James Cronen,617
,31,2,,21,51,Alex,161
,32,2,,30,50,Jason N. Gaylord,407
How can I calculate the best sail size for the current wind?,33,1,259,,53,balexandre,253
,34,2,,30,36,Mike Hedman,2017
,35,2,,30,16,corsiKa,2234
Why don't treadmills offer a manual setting of longer than 60 minutes?,36,1,42,,50,Jason N. Gaylord,407
What is the most popular running (and fitness) application for mobile devices?,37,1,,,50,Jason N. Gaylord,407
Why would you ever allow an opponent to score?,38,1,39,,14,Marcus Swope,4585
,39,2,,38,18,jamauss,8239
,40,2,,38,16,corsiKa,2234
,41,2,,10,62,canadiancreed,222
,42,2,,36,28,Gabriel Solomon,1151
How to attack zone defense?,44,1,57,,65,julesanchez,259
,45,2,,38,66,Chadddada,121
,46,2,,37,61,JW8,6486
Swimming and respiratory infections,47,1,,,70,Peter DeWeese,359
Which workouts will most help my ball handling skills?,48,1,66,,14,Marcus Swope,4585
Recommended drills to help keep your eye on the ball?,50,1,303,,18,jamauss,8239
,51,5,,,-1,Community,1
,52,4,,,14,Marcus Swope,4585
,53,5,,,528,KeithS,2538
,54,4,,,528,KeithS,2538
"What is the practical difference between traditional and ""toe"" snowboard bindings?",55,1,65,,34,Dmitry Selitskiy,981
Difference between one gap and two gap techniques for defensive linemen,56,1,58,,61,JW8,6486
,57,2,,44,61,JW8,6486
,58,2,,56,14,Marcus Swope,4585
,59,2,,28,71,Ron,342
How is the BCS rank determined?,60,1,63,,75,chrisjlee,3257
,61,2,,27,75,chrisjlee,3257
,63,2,,60,14,Marcus Swope,4585
"When is a sacrifice bunt a statistically ""good"" option?",64,1,,,6,wax eagle,8985
,65,2,,55,83,elysey,336
,66,2,,48,18,jamauss,8239
Do high tops prevent sprained ankles?,67,1,208,,26,samthebrand,1128
Why would you use oil on your table tennis raquets?,68,1,71,,75,chrisjlee,3257
Why are there different stars on table tennis balls?,69,1,72,,75,chrisjlee,3257
,70,2,,67,86,MOnsDaR,275
,71,2,,68,18,jamauss,8239
,72,2,,69,18,jamauss,8239
Is Fartlek more effective than regular training,73,1,154,,90,Henrik,400
How to boost vertical speed / jump height,74,1,,,86,MOnsDaR,275
,75,2,,25,57,Vladimir,226
,76,2,,74,97,Xander,678
How do defenders score goals when part of a formation,77,1,91,,98,JoseK,710
What is best for hydration during a run?,78,1,81,,97,Xander,678
,79,2,,30,38,Tonny Madsen,993
,81,2,,78,101,FLY,236
,82,2,,73,38,Tonny Madsen,993
Screening in volleyball,84,1,3937,,96,Mormegil,3328
,85,2,,84,97,Xander,678
How to start running,86,1,89,,95,garik,1202
,87,2,,78,38,Tonny Madsen,993
,89,2,,86,90,Henrik,400
,90,2,,86,97,Xander,678
,91,2,,77,96,Mormegil,3328
,92,2,,30,35,pjmorse,2669
Is a disc that lands on top of a basket considered holed?,95,1,100,,6,wax eagle,8985
,96,2,,78,23,geoffc,2257
If a play ends with two runners at the same base who is safe?,97,1,104,,6,wax eagle,8985
,98,2,,73,103,Rory Alsop,2385
,99,2,,47,70,Peter DeWeese,359
,100,2,,95,103,Rory Alsop,2385
How can I improve my endurance while skiing?,101,1,,,105,Dynamo,331
How can I improve my endurance while skiing?,102,1,113,,105,Dynamo,331
Why are substitutions commonly made right at the end of the game?,103,1,866,,59,Matt,2809
,104,2,,97,14,Marcus Swope,4585
,105,2,,103,16,corsiKa,2234
Does icing a fieldgoal kicker actually work?,106,1,112,,6,wax eagle,8985
,107,5,,,385,Dor Cohen,7543
,108,4,,,12,Michael Myers,3257
,109,2,,97,61,JW8,6486
,110,2,,103,61,JW8,6486
,111,2,,103,97,Xander,678
,112,2,,106,12,Michael Myers,3257
,113,2,,102,61,JW8,6486
Stomping after a table tennis serve or follow through?,114,1,1341,,75,chrisjlee,3257
Is it true that a line backer is the quarterback for the defense?,115,1,117,,75,chrisjlee,3257
,116,2,,77,110,Fillet,3554
,117,2,,115,16,corsiKa,2234
Are you allowed to play zone defense in the NBA?,118,1,123,,14,Marcus Swope,4585
Why does a foul ball not count as a third strike?,119,1,120,,110,Fillet,3554
,120,2,,119,6,wax eagle,8985
,121,2,,119,61,JW8,6486
,123,2,,118,12,Michael Myers,3257
,124,2,,118,61,JW8,6486
,125,2,,119,2,Robert Cartaino,324
,126,5,,,528,KeithS,2538
,127,4,,,12,Michael Myers,3257
,128,2,,25,105,Dynamo,331
Difference between three technique and five technique defensive linemen,129,1,170,,61,JW8,6486
Enforcement of traveling in basketball,130,1,176,,61,JW8,6486
Why isn't spiking the football intentional grounding?,131,1,133,,111,Raystafarian,395
,132,2,,131,12,Michael Myers,3257
,133,2,,131,6,wax eagle,8985
,134,2,,115,61,JW8,6486
10% Rule for Increasing Pace,135,1,137,,21,Zann Anderson,197
Cross-training to increasing pace for a beginner,136,1,,,21,Zann Anderson,197
,137,2,,135,61,JW8,6486
Why do the balls used in rugby and American football have a similar shape?,138,1,140,,87,LudoMC,647
Cross-training versus specificity,139,1,,,92,Unsliced,993
,140,2,,138,12,Michael Myers,3257
Why is a foul bunt on strike three an out?,141,1,164,,74,kmm,567
,142,2,,64,61,JW8,6486
Is there evidence for or against fish feeling pain from a hook?,143,1,,,74,kmm,567
How can I better understand and appreciate curling?,144,1,,,74,kmm,567
,145,2,,50,14,Marcus Swope,4585
,146,2,,69,71,Ron,342
,13431,2,,13430,6126,Philip Kendall,18797
Why are Formula E cars limited at 225kph (140mph) by the FIA?,13432,1,13959,,1832,Franck Dernoncourt,463
,13433,5,,,-1,Community,1
,13434,4,,,1832,Franck Dernoncourt,463
,13435,2,,12632,10871,cuisquare,27
How do you practice soccer effectively alone?,13436,1,13437,,11106,Slim Shady,237
,13437,2,,13436,630,hhh,1840
Is a ball which passes behind the batsman and over the stumps a wide?,13438,1,13439,,11107,Gem,153
,13439,2,,13438,6126,Philip Kendall,18797
,13440,2,,543,11108,Mike Hood,1
,13441,2,,6905,11109,geraint davies,21
How do I know which direction the players will be lining up to sing the national anthem?,13445,1,13448,,11119,EconDude,63
,13446,2,,5028,11120,john ktejik,161
,13448,2,,13445,7723,Don_Biglia,1186
LBW and aiding umpire,13449,1,13454,,7509,WedaPashi,135
Are LED stumps allowed by the Laws of Cricket?,13450,1,13452,,10760,Arun Xavier,1259
,13452,2,,13450,6126,Philip Kendall,18797
,13454,2,,13449,9129,Ben Whyall,1892
,13458,2,,13418,10944,Eames,169
,13461,2,,2378,11133,Dan W,101
,13462,2,,9185,11133,Dan W,101
,13463,2,,8749,11133,Dan W,101
,13464,2,,8953,11133,Dan W,101
Could an incorrect substitution result in a forfeit?,13466,1,,,11135,user11135,81
,13467,2,,13466,6126,Philip Kendall,18797
,13468,2,,12484,3257,JeopardyTempest,1859
,13469,2,,1740,3257,JeopardyTempest,1859
Throwing Ball From Dugout To First Baseman after inning,13470,1,13475,,9567,dgo,562
,13471,2,,3854,3257,JeopardyTempest,1859
When do teams wear their away jerseys at international level?,13472,1,,,11137,Baz,211
,13473,2,,13472,6126,Philip Kendall,18797
,13474,2,,13472,7723,Don_Biglia,1186
,13475,2,,13470,9897,Dr.DrfbagIII,1659
,13478,2,,13445,3388,Will WP,191
,13479,2,,1958,3388,Will WP,191
"In 2016 IPL T20 cricket matches, are the commentators in the stadium or watching a broadcast in a studio?",13481,1,,,9253,Prem,630
Potential damage to boot studs,13484,1,13487,,7651,boxspah,954
,13486,2,,13481,6039,TrueDub,3363
,13487,2,,13484,11058,Beastly Gerbil,535
,13489,2,,3610,9253,Prem,630
,13490,2,,9120,11150,Keith Kelman,11
How is the conversion rate calculated in football?,13491,1,,,11152,K1dutzaa,81
,13493,2,,13491,110,Fillet,3554
Is it a foul if no contact is made during an attempted reckless tackle?,13495,1,13497,,9902,Gaurav,631
,13496,2,,3610,796,Masked Man,1
,13497,2,,13495,477,gbianchi,2140
Are there any sports other than American football that have a coach's challenge?,13498,1,13502,,10657,Sam Dai,782
,13499,2,,13498,6126,Philip Kendall,18797
,13500,2,,10789,10657,Sam Dai,782
,13501,2,,13498,7723,Don_Biglia,1186
,13502,2,,13498,10837,mhodges,316
,13503,2,,13495,3526,Reinstate Monica 2331977,7219
,13504,2,,13498,11160,Ben,61
Are clubs' Champions League Final tickets nominative?,13506,1,,,11164,user11164,51
Was Kobe Bryant's 60 points in his last game comparable to his performance during his career?,13508,1,13510,,1831,Ale,9000
,13510,2,,13508,3257,JeopardyTempest,1859
Cap colour in IPL,13511,1,,,11166,Sampurnanand Yadav,91
,13513,2,,1740,11171,Brennich,31
What does Atletico Madrid do tactically different since Diego Simeone took over?,13514,1,,,11173,esh,181
,13515,2,,13506,496,Ste,3642
,13517,2,,13514,11106,Slim Shady,237
,13519,2,,13511,10319,Dawny33,625
What material are professional football nets made from?,13521,1,,,11182,stuart,61
Is there a regulation about the shape of the posts of a football goal?,13522,1,13523,,1831,Ale,9000
,13523,2,,13522,6126,Philip Kendall,18797
Were there any Moneyball-like instances in history of cricket?,13524,1,13528,,10319,Dawny33,625
,13525,2,,13143,11184,J_B892,141
How do MLB Managers do the lineup card on Jackie Robinson Day?,13526,1,,,10837,mhodges,316
,13527,2,,13526,8937,New-To-IT,2027
,13528,2,,13524,6126,Philip Kendall,18797
Does handicapping really do what it claims?,13529,1,13643,,10904,Mick,463
,13530,2,,13295,11009,Grizzly,526
How long should a medal ribbon be?,13532,1,13533,,11194,Gertsen,153
,13533,2,,13532,1831,Ale,9000
What happens if a suspended player is used in match and the referee didn't notice,13535,1,,,11195,Bradley Makoni,211
,13536,2,,13535,1831,Ale,9000
,13537,2,,13535,10215,Ê€á´‡á´…_á´…á´‡á´ ÉªÊŸ226,2437
Does bat tampering exist in cricket?,13538,1,13540,,10319,Dawny33,625
,13539,2,,13240,11198,user45185,21
,13540,2,,13538,6126,Philip Kendall,18797
,13543,2,,5731,11184,J_B892,141
,13544,2,,9037,11184,J_B892,141
,13545,2,,7241,11198,user45185,21
Football offside tag up,13546,1,13548,,11201,user276318,63
Why are woodbats preferred to train with over aluminum bats?,13547,1,,,11009,Grizzly,526
,13548,2,,13546,6049,Duncan,2476
Base running in softball,13549,1,13552,,11204,Lori Wilson,93
,13550,2,,13546,3526,Reinstate Monica 2331977,7219
,13552,2,,13549,9567,dgo,562
What would be the essential things to learn to get good enough to play on a small football team?,13554,1,,,10872,WSlater,81
,13555,2,,12637,10944,Eames,169
,13556,2,,13554,9319,Nij,6688
"Runner on third tags up on caught ball, the other two do not, does the run score?",13557,1,,,11213,KKendall,131
,13558,2,,13554,110,Fillet,3554
,13560,2,,1227,11215,Big_Papi1969,9
Swimmer's elbow problems,13561,1,,,2248,mungflesh,293
Training motor skills for inexperienced athletes,13562,1,,,3490,Michele C,388
,13563,2,,13557,11009,Grizzly,526
What if a player uses his shirt,13564,1,13565,,11106,Slim Shady,237
,13565,2,,13564,6049,Duncan,2476
Have the top two teams in the NHL ever met in the Stanley Cup Finals?,13566,1,,,1555,gregsdennis,129
In which part of ice hockey game most goals are scored?,13567,1,,,1237,Martin,5720
,13568,2,,13535,11106,Slim Shady,237
,13569,2,,13566,6126,Philip Kendall,18797
,13570,2,,5386,11220,Ramesh Nyberg,37
,13571,2,,7269,11220,Ramesh Nyberg,37
Participation of different teams with the same owner in European cups,13572,1,16787,,1831,Ale,9000
,13574,2,,13521,11184,J_B892,141
,13576,2,,13521,1831,Ale,9000
,13577,2,,13378,11223,eiglow_,36
,13578,2,,731,11225,Steve B.,1
Stolen bases in softball,13579,1,,,11204,Lori Wilson,93
What happens if the fielder fails to walk in from outside the boundary ropes when the ball is delivered?,13583,1,,,11230,Roopesh,21
